"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"128",0.06,"N IRVING ST","N","4  Minor Arterial","1    Asphalt",46,4,4,10,2700,3,0,0.06,2499
"129",0.05,"E MAXWELL PL","E","5  Major Collector","1    Asphalt",60,2.5,2,10,4700,3,0.74,0.79,4182
"130",0.12,"E 48TH AVE","E","5  Major Collector","1    Asphalt",36,4,2,10,4300,3,0.52,0.64,5603
"131",0.07,"E 24TH AVE","E","5  Major Collector","1    Asphalt",36,4,2,10,830,3,0.79,0.86,5742
"132",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,37000,0,2.1,2.11,355
"133",0.06,"W 50TH AVE","W","5  Major Collector","1    Asphalt",36,4,2,10,3700,3,0.59,0.65,5939
"134",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6200,3,4.65,4.71,1073
"135",0.03,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,2,10,8100,3,0.1,0.13,361
"136",0.06,"E MONTVIEW BLVD","E","4  Minor Arterial","1    Asphalt",44,4,3,10,7900,3,1.58,1.64,1340
"137",0.12,"N DOWNING ST","N","4  Minor Arterial","1    Asphalt",34,4,2,10,5100,3,0,0.12,1266
"138",0.06,"W 32ND AVE","W","4  Minor Arterial","1    Asphalt",40,4,2,10,6700,3,0.42,0.48,1841
"139",0.12,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",32,4,2,10,20000,3,0.36,0.48,2866
"140",0.06,"E ILIFF AVE","E","5  Major Collector","1    Asphalt",30,4,2,10,4100,3,0.06,0.12,4343
"141",0.08,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,2,10,7600,0,0.2,0.28,751
"142",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,30000,1,2.72,2.74,219
"143",0.06,"W 6TH AVENUE FWY","W","3  Principal Arterial - Other","1    Asphalt",76,1,6,12,66000,3,0.2,0.26,135
"144",0.06,"W JEWELL AVE","W","5  Major Collector","1    Asphalt",48,1,2,10,6400,1,0.8,0.86,4207
"145",0.02,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,4,10,29000,0,2,2.02,532
"146",0.12,"N HOLLY ST","N","5  Major Collector","1    Asphalt",28,4,2,10,7100,3,2.59,2.71,4504
"147",0.02,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,1,4,10,13000,3,0.99,1.01,3123
"148",0.06,"E 24TH AVE","E","5  Major Collector","1    Asphalt",36,4,2,13,140,0,0.34,0.4,5685
