"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"9523",0.1,"E 6TH AVENUE PKWY","E","4  Minor Arterial","1    Asphalt",140,4,0,4,10,17000,1,202197,1995,1.24,1.34
"9524",0.1,"N BRIGHTON BLVD","NE","4  Minor Arterial","1    Asphalt",32,4,124,2,12,6200,4,204204,1997,0.337,0.437
"9526",0.01,"S SYRACUSE WAY","S","4  Minor Arterial","1    Asphalt",24,4,0,2,10,10000,3,202014,1995,0.44,0.45
"9529",0.06,"E 17TH AVE","E","4  Minor Arterial","1    Asphalt",26,4,0,2,10,8500,3,202241,1995,1.06,1.12
"9532",0.03,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,3,10,8400,1,202246,1995,2.9,2.93
"9533",0.12,"S LOGAN ST","S","4  Minor Arterial","1    Asphalt",40,4,0,2,10,9900,3,202047,1995,2.26,2.38
"9536",0.08,"AURARIA PKWY","NE","3  Principal Arterial - Other","1    Asphalt",44,1,255,3,11,34000,0,202189,1995,0.2,0.28
"9538",0.07,"N DOWNING ST","N","4  Minor Arterial","1    Asphalt",40,4,0,3,10,11000,1,202150,1995,1.959,2.029
"9542",0.06,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",48,4,0,4,10,10000,1,201917,1995,0.67,0.73
"9544",0.02,"N JOSEPHINE ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,10,11000,2,107731,1995,1.075,1.095
"9545",0.02,"N WASHINGTON ST","N","3  Principal Arterial - Other","1    Asphalt",40,1,277,2,10,22000,0,201930,1995,0.8,0.82
"9547",0.09,"W 14TH AVENUE PKWY","W","4  Minor Arterial","1    Asphalt",44,4,0,3,10,6600,1,201969,1995,0,0.09
"9549",0.01,"N BROADWAY","N","3  Principal Arterial - Other","1    Asphalt",72,2.5,139,5,10,26000,1,900067,1995,1.49,1.5
"9551",0.02,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,3,10,8400,1,202246,1995,3.99,4.01
"9552",0.12,"S MONACO STREET PKWY","S","4  Minor Arterial","1    Asphalt",78,4,0,4,10,25000,1,202041,1995,0.76,0.88
"9556",0.06,"LARIMER ST","NE","4  Minor Arterial","1    Asphalt",33,4,183,2,11,3000,0,101371,1995,0.87,0.93
"9557",0.03,"E FLORIDA AVE","E","4  Minor Arterial","1    Asphalt",44,4,0,2,10,11000,3,202141,1995,1.965,1.995
"9559",0.09,"S EMERSON ST","S","4  Minor Arterial","1    Asphalt",32,4,180,1,12,1900,2,901093,1995,0.92,1.01
"9560",0.04,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",40,4,0,2,10,6900,3,201952,1995,1.09,1.13
"9561",0.09,"STOUT ST","NE","4  Minor Arterial","1    Asphalt",48,1,0,3,10,9100,1,202003,1995,0.78,0.87
"9563",0.02,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,298,4,10,30000,1,107658,1995,0.88,0.9
"9566",0.08,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",50,4,288,4,10,31000,0,106005,1995,0,0.08
"9572",0.06,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,179,3,10,18000,0,107668,1995,2.21,2.27
"9581",0.07,"W 29TH AVE","W","4  Minor Arterial","1    Asphalt",44,4,0,3,10,6300,1,201296,1995,0.14,0.21
"9583",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,2,10,10000,3,202252,1995,2.42,2.48
"9584",0.08,"S HOLLY ST","S","4  Minor Arterial","1    Asphalt",52,2.5,0,2,10,17000,3,202060,1995,2.5,2.58
"9588",0.057,"N BRIGHTON BLVD","NE","4  Minor Arterial","1    Asphalt",32,4,102,2,12,6200,4,204204,1990,0.456,0.513
"9590",0.15,"N SYRACUSE ST","N","4  Minor Arterial","1    Asphalt",71,4,0,2,10,3900,3,203733,2001,0.08,0.23
"9594",0.06,"E 17TH AVE","E","4  Minor Arterial","1    Asphalt",26,4,0,2,10,8500,3,202241,1995,0.52,0.58
"9597",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,3,10,8400,1,202246,1995,3.51,3.57
"9598",0.12,"S LOGAN ST","S","4  Minor Arterial","1    Asphalt",40,4,0,2,10,9900,3,202047,1995,1.39,1.51
"9601",0.02,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",30,4,246,2,10,33000,0,900047,1995,3.9,3.92
"9603",0.13,"E FLORIDA AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,2,10,5500,3,202142,1995,0.835,0.965
"9604",0.07,"S QUEBEC ST","S","4  Minor Arterial","1    Asphalt",30,4,0,2,12,21000,3,106857,1995,0.24,0.31
"9607",0.15,"E 1ST AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,2,11,6700,3,202231,1995,0.305,0.455
"9609",0.05,"E YALE WAY","SE","4  Minor Arterial","1    Asphalt",36,1,0,2,10,11000,3,201881,1995,1.778,1.828
"9610",0.04,"E ALAMEDA AVE","E","4  Minor Arterial","1    Asphalt",40,4,536,4,10,23000,0,202194,1995,0.7,0.74
"9613",0.07,"E 18TH AVE","E","4  Minor Arterial","1    Asphalt",40,4,0,5,10,12000,3,201146,1995,1.51,1.58
"9615",0.105,"N CORONA ST","N","4  Minor Arterial","1    Asphalt",32,2.5,0,2,10,4300,3,202164,1995,0.4,0.505
"9616",0.06,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,222,3,12,17000,3,107704,1995,0.93,0.99
"9620",0.03,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,1,0,4,10,22000,3,201905,1995,0.07,0.1
"9622",0.05,"W YALE AVE","W","4  Minor Arterial","1    Asphalt",36,1,0,2,10,9100,3,201901,1995,0,0.05
"9623",0.06,"BLAKE ST","NE","4  Minor Arterial","1    Asphalt",44,4,0,2,11,1100,0,101381,1995,0.17,0.23
"9626",0.04,"E 40TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,283,4,10,10000,0,202211,1995,1.12,1.16
"9628",0.06,"W 26TH AVE","W","4  Minor Arterial","1    Asphalt",32,1,0,2,10,7100,3,201299,1995,1.39,1.45
"9629",0.04,"W 6TH AVE","W","3  Principal Arterial - Other","1    Asphalt",60,4,164,5,10,30000,0,106536,1995,0.1,0.14
"9631",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,0,3,10,10000,3,202252,1995,0.58,0.64
"9632",0.01,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",40,1,0,3,10,19000,3,202017,1995,0.08,0.09
"9636",0.06,"E 8TH AVE","E","4  Minor Arterial","1    Asphalt",44,1,0,2,10,12000,1,202195,1995,1.145,1.205
"9638",0.02,"STOUT ST","NE","4  Minor Arterial","1    Asphalt",48,4,334,2,12,5700,0,900559,1995,1.93,1.95
"9640",0.08,"E 23RD AVE","E","4  Minor Arterial","1    Asphalt",44,2.5,0,4,10,13000,3,202227,1995,1.05,1.13
"9641",0.15,"E 11TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,2,10,12000,3,203214,1995,1.01,1.16
"9645",0.07,"E CHERRY CREEK SOUTH DR","SE","4  Minor Arterial","1    Asphalt",28,4,0,2,10,21000,3,201849,1995,0.71,0.78
"9646",0.18,"N MONACO ST","N","4  Minor Arterial","1    Asphalt",44,4,0,4,10,10000,3,202095,1995,3.815,3.995
"9647",0.06,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,216,4,10,27000,0,900044,1995,1.22,1.28
"9652",0.03,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,292,2,12,17000,3,107704,1995,0.42,0.45
"9657",0.07,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,4,0,4,10,13000,3,201904,1995,1.49,1.56
"9658",0.05,"E ALAMEDA AVE","E","4  Minor Arterial","1    Asphalt",52,4,387,4,10,23000,0,202194,1995,0.2,0.25
"9662",0.12,"N GRANT ST","N","4  Minor Arterial","1    Asphalt",48,1,0,3,10,10000,1,202137,1995,0.73,0.85
"9666",0.05,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",44,4,0,4,10,12000,1,201916,1995,2.89,2.94
"9667",0.07,"W QUINCY AVE","W","4  Minor Arterial","1    Asphalt",84,4,0,4,10,12000,3,201379,1995,0.78,0.85
"9668",0.13,"N JOSEPHINE ST","N","4  Minor Arterial","1    Asphalt",40,2.5,0,3,10,15000,1,201135,1995,1.655,1.785
"9669",0.04,"W 8TH AVE","W","4  Minor Arterial","1    Asphalt",50,4,0,2,10,11000,3,201939,1995,3.83,3.87
"9670",0.06,"W EVANS AVE","W","3  Principal Arterial - Other","1    Asphalt",60,2.5,261,4,12,30000,0,107442,1995,0.93,0.99
"9672",0.14,"N TOWER RD","N","4  Minor Arterial","1    Asphalt",24,2.5,0,4,10,26000,3,201988,1995,3.305,3.445
"9673",0.01,"N BROADWAY","N","3  Principal Arterial - Other","1    Asphalt",72,2.5,241,5,10,37000,1,900070,1995,2.63,2.64
"9675",0.06,"15TH ST","NW","4  Minor Arterial","1    Asphalt",62,2.5,0,6,10,11000,3,202243,1995,0.64,0.7
"9676",0.06,"S MONACO STREET PKWY","S","4  Minor Arterial","1    Asphalt",78,4,0,5,10,28000,3,107743,1995,0.35,0.41
"9678",0.01,"MARKET ST","NE","4  Minor Arterial","1    Asphalt",48,4,424,3,12,5500,0,103340,1995,0.19,0.2
"9680",0.05,"S EMERSON ST","S","4  Minor Arterial","1    Asphalt",32,4,175,1,12,1900,2,901093,1995,1.37,1.42
"9681",0.06,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",40,4,0,2,10,6900,3,201952,1995,1.15,1.21
"9682",0.09,"STOUT ST","NE","4  Minor Arterial","1    Asphalt",48,1,0,3,10,9100,1,202003,1995,0.33,0.42
"9686",0.08,"N YORK ST","N","4  Minor Arterial","1    Asphalt",36,4,0,2,10,15000,3,107775,1995,0.52,0.6
"9687",0.13,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",36,4,0,2,10,20000,3,202067,1995,1.22,1.35
"9690",0.06,"MORRISON RD","SW","4  Minor Arterial","1    Asphalt",48,4,0,2,10,13000,3,202091,1995,0.33,0.39
"9691",0.01,"CHAMPA ST","NE","4  Minor Arterial","1    Asphalt",36,4,249,1,12,7800,2,107718,1995,0.18,0.19
"9692",0.1,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,275,4,10,27000,0,900044,1995,0.8,0.9
"9701",0.06,"W 32ND AVE","W","4  Minor Arterial","1    Asphalt",34,2.5,0,2,10,6700,3,201295,1995,0.54,0.6
"9702",0.04,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,211,3,10,22000,3,107664,1995,2.11,2.15
"9705",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,2,10,6900,3,202251,1995,3.84,3.9
"9710",0.07,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",48,4,0,4,10,10000,1,201917,1995,1.07,1.14
"9712",0.05,"N JOSEPHINE ST","N","4  Minor Arterial","1    Asphalt",36,4,0,3,10,17000,3,107728,1995,0.42,0.47
"9713",0.06,"E 6TH AVENUE PKWY","E","4  Minor Arterial","1    Asphalt",140,4,0,4,10,17000,1,202197,1995,0.57,0.63
"9714",0.08,"N WASHINGTON ST","N","3  Principal Arterial - Other","1    Asphalt",40,1,149,2,10,22000,0,201930,1995,0.62,0.7
"9717",0.04,"N BROADWAY","N","3  Principal Arterial - Other","1    Asphalt",66,2.5,245,4,10,17000,1,202184,1995,0.54,0.58
"9719",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,3,10,8400,1,202246,1995,3.75,3.81
"9721",0.06,"E 8TH AVE","E","4  Minor Arterial","1    Asphalt",44,1,0,2,10,12000,1,202195,1995,1.025,1.085
"9725",0.07,"LARIMER ST","NE","4  Minor Arterial","1    Asphalt",33,4,229,2,11,3000,0,101371,1995,0.53,0.6
"9726",0.12,"N DOWNING ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,10,7800,3,202153,1995,0.5,0.62
"9728",0.06,"W YALE AVE","W","4  Minor Arterial","1    Asphalt",40,4,0,2,10,9000,3,201236,1995,1.69,1.75
"9729",0.08,"W 38TH AVE","W","4  Minor Arterial","1    Asphalt",68,2.5,186,4,12,22000,1,106739,1995,1.545,1.625
"9730",0.07,"S QUEBEC ST","S","4  Minor Arterial","1    Asphalt",66,4,0,4,11,21000,3,106857,1995,1.285,1.355
"9734",0.01,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",44,4,0,4,10,20000,1,201898,1995,0.04,0.05
"9735",0.06,"E 6TH AVENUE PKWY","E","4  Minor Arterial","1    Asphalt",140,4,0,4,10,17000,1,202197,1995,0.09,0.15
"9738",0.02,"E MONTVIEW BLVD","E","4  Minor Arterial","1    Asphalt",44,4,0,3,10,7900,3,202094,1995,1.52,1.54
"9739",0.11,"N CLARKSON ST","N","4  Minor Arterial","1    Asphalt",38,1,0,3,10,5400,3,202167,1995,1.535,1.645
"9741",0.06,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,304,3,10,18000,0,107668,1995,1.9,1.96
"9745",0.12,"N WASHINGTON ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,10,5400,3,201933,1995,1.055,1.175
"9749",0.14,"S WASHINGTON ST","S","4  Minor Arterial","1    Asphalt",32,4,0,2,10,5300,3,201934,1995,0.84,0.98
"9752",0.09,"W 29TH AVE","W","4  Minor Arterial","1    Asphalt",44,4,0,2,10,8500,3,201297,1995,0.875,0.965
"9753",0.02,"W 6TH AVE","W","3  Principal Arterial - Other","1    Asphalt",60,4,150,5,10,30000,0,106536,1995,0.58,0.6
"9755",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,2,10,10000,3,202252,1995,2.24,2.3
"9756",0.06,"S HOLLY ST","S","4  Minor Arterial","1    Asphalt",40,2.5,0,2,10,17000,3,202060,1995,1.47,1.53
"9761",0.03,"S YOSEMITE ST","S","4  Minor Arterial","1    Asphalt",62,4,0,4,11,27000,1,201839,1995,1.85,1.88
"9763",0.06,"E 17TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,2,12,8500,3,202241,1995,0.16,0.22
"9766",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,3,10,8700,1,202247,1995,1.97,2.03
"9767",0.17,"E SMITH RD","E","4  Minor Arterial","1    Asphalt",22,1,0,2,11,5800,3,202044,1995,0.34,0.51
"9769",0.09,"CHAMPA ST","NE","4  Minor Arterial","1    Asphalt",48,4,0,3,10,6100,3,202171,1995,1.62,1.71
"9770",0.1,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",30,4,224,2,10,33000,0,900047,1995,2.9,3
"9771",0.01,"LARIMER ST","NE","4  Minor Arterial","1    Asphalt",33,4,225,2,11,3000,0,101371,1995,0.42,0.43
"9776",0.02,"20TH ST","NW","4  Minor Arterial","1    Asphalt",52,1,228,4,9,10000,2,106528,1995,0.24,0.26
"9778",0.08,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",48,4,0,2,10,11000,3,201881,1995,1.388,1.468
"9780",0.04,"BLAKE ST","NE","4  Minor Arterial","1    Asphalt",44,1,425,4,11,7800,0,106545,1995,2.38,2.42
"9785",0.08,"N PECOS ST","N","4  Minor Arterial","1    Asphalt",32,2.5,0,2,10,2200,2,901385,1995,0.32,0.4
"9786",0.11,"N CLARKSON ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,12,3800,3,202168,1995,0.21,0.32
"9787",0.04,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,308,3,12,17000,3,107704,1995,0.72,0.76
"9791",0.11,"N WASHINGTON ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,10,5400,3,201933,1995,0.41,0.52
"9794",0.04,"N DOWNING STREET PKWY","N","4  Minor Arterial","1    Asphalt",36,4,0,2,12,7800,3,202153,1995,0.12,0.16
"9796",0.03,"N YORK ST","N","4  Minor Arterial","1    Asphalt",36,4,0,2,10,6700,3,201893,1995,3.94,3.97
"9797",0.05,"E 40TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,293,4,10,7900,1,202212,1995,0.61,0.66
"9799",0.04,"W 26TH AVE","W","4  Minor Arterial","1    Asphalt",36,4,0,2,10,7100,3,201299,1995,1.53,1.57
"9802",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,0,3,10,10000,3,202252,1995,0.28,0.34
"9803",0.11,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",52,4,0,3,10,19000,3,202018,1995,0.95,1.06
"9805",0.07,"18TH ST","NW","4  Minor Arterial","1    Asphalt",66,4,0,4,10,8600,0,202238,1995,0.31,0.38
"9807",0.06,"E 8TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,0,2,10,12000,1,202195,1995,0.435,0.495
"9808",0.03,"STOUT ST","NE","4  Minor Arterial","1    Asphalt",48,4,222,2,12,5700,0,900559,1995,1.83,1.86
"9810",0.07,"E 23RD AVE","E","4  Minor Arterial","1    Asphalt",34,4,0,2,10,13000,3,202227,1995,0.84,0.91
"9811",0.09,"N YORK ST","N","4  Minor Arterial","1    Asphalt",44,4,0,2,10,6700,3,201893,1995,3.61,3.7
"9812",0.06,"E 11TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,2,10,12000,3,203214,1995,1.28,1.34
"9815",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",40,4,0,3,10,8700,1,202247,1995,0.65,0.71
"9816",0.05,"S KALAMATH ST","S","4  Minor Arterial","1    Asphalt",62,4,0,3,10,12000,3,202057,1995,0.33,0.38
"9817",0.09,"CHAMPA ST","NE","4  Minor Arterial","1    Asphalt",36,4,249,1,12,7800,2,107718,1995,0.09,0.18
"9818",0.05,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",30,4,114,6,10,34000,0,900046,1995,2.24,2.29
"9826",0.25,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,1,0,4,10,13000,3,201904,1995,0.74,0.99
"9827",0.04,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,180,3,10,22000,3,107664,1995,2.24,2.28
"9831",0.12,"N GRANT ST","N","4  Minor Arterial","1    Asphalt",52,1,0,3,10,10000,1,202137,1995,1.05,1.17
"9835",0.007,"N BRIGHTON BLVD","NE","4  Minor Arterial","1    Asphalt",32,4,200,2,12,9300,1,204205,1990,0.83,0.837
"9837",0.11,"N JOSEPHINE ST","N","4  Minor Arterial","1    Asphalt",40,2.5,0,3,10,15000,1,201135,1995,1.545,1.655
"9838",0.06,"W JEWELL AVE","W","4  Minor Arterial","1    Asphalt",48,4,298,2,12,12000,0,107443,1995,1.48,1.54
"9842",0.1,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",48,4,0,2,10,11000,3,201881,1995,1.468,1.568
"9843",0.04,"BLAKE ST","NE","4  Minor Arterial","1    Asphalt",44,4,287,3,11,7800,0,106545,1995,2.24,2.28
"9846",0.06,"18TH ST","NW","4  Minor Arterial","1    Asphalt",52,4,0,3,10,8600,0,202238,1995,0.25,0.31
"9847",0.1,"N PECOS ST","N","4  Minor Arterial","1    Asphalt",54,4,0,4,10,14000,3,202086,1995,1.21,1.31
"9848",0.1,"N CLARKSON ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,12,3800,3,202168,1995,0.655,0.755
"9849",0.04,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,311,2,12,17000,3,107704,1995,0.5,0.54
"9853",0.11,"N WASHINGTON ST","N","4  Minor Arterial","1    Asphalt",32,4,0,2,10,5400,3,201933,1995,0.945,1.055
"9855",0.06,"S SANTA FE DR","S","4  Minor Arterial","1    Asphalt",40,1,0,2,10,19000,3,202017,1995,0.12,0.18
"9856",0.17,"N HAVANA ST","N","4  Minor Arterial","1    Asphalt",72,1,0,4,10,9500,3,900562,1995,1.53,1.7
"9858",0.09,"N YORK ST","N","4  Minor Arterial","1    Asphalt",44,4,0,4,10,14000,0,201895,1995,2.24,2.33
"9859",0.1,"E 40TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,337,4,10,7900,1,202212,1995,0.46,0.56
"9861",0.08,"W 26TH AVE","W","4  Minor Arterial","1    Asphalt",32,1,0,2,10,7100,3,201299,1995,0.49,0.57
"9862",0.01,"38TH ST","NW","3  Principal Arterial - Other","1    Asphalt",50,4,290,4,12,39000,2,201931,1995,0.45,0.46
"9864",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,0,3,10,10000,3,202252,1995,0.64,0.7
"9865",0.08,"N SANTA FE DR","N","4  Minor Arterial","1    Asphalt",40,1,0,3,10,19000,3,202017,1995,0,0.08
"9868",0.06,"E 8TH AVE","E","4  Minor Arterial","1    Asphalt",44,1,0,2,10,12000,1,202195,1995,1.565,1.625
"9873",0.06,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,2,10,2600,3,202250,1995,5.295,5.355
"9877",0.03,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,0,3,10,8700,1,202247,1995,1.78,1.81
"9878",0.09,"N DOWNING ST","N","4  Minor Arterial","1    Asphalt",34,2.5,0,2,10,4700,3,202151,1995,1.099,1.189
"9879",0.12,"N MONACO STREET PKWY","N","4  Minor Arterial","1    Asphalt",170,4,0,4,10,10000,3,202095,1995,3.235,3.355
"9880",0.02,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,187,6,10,34000,0,900046,1995,1.78,1.8
"9890",0.02,"W MISSISSIPPI AVE","W","4  Minor Arterial","1    Asphalt",48,1,0,4,10,13000,3,201904,1995,0.99,1.01
"9891",0.06,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,202,3,10,23000,3,107661,1995,1.74,1.8
"9899",0.02,"W FLORIDA AVE","W","4  Minor Arterial","1    Asphalt",48,4,0,4,10,10000,1,201917,1995,1.72,1.74
"9901",0.06,"38TH ST","NW","4  Minor Arterial","1    Asphalt",30,4,0,4,10,15000,4,902081,1995,0.19,0.25
"9902",0.04,"N BRIGHTON BLVD","NE","3  Principal Arterial - Other","1    Asphalt",50,4,249,4,10,16000,1,107708,1995,0.8,0.84
"9903",0.05,"W EVANS AVE","W","3  Principal Arterial - Other","1    Asphalt",52,2.5,472,4,12,30000,0,107442,1995,0.53,0.58
"9905",0.13,"N TOWER RD","N","4  Minor Arterial","1    Asphalt",24,2.5,0,4,10,26000,3,201988,1995,2.68,2.81
"9906",0.07,"N BROADWAY","N","3  Principal Arterial - Other","1    Asphalt",72,2.5,132,5,10,33000,0,901625,1995,2.3,2.37
"9908",0.04,"15TH ST","NW","4  Minor Arterial","1    Asphalt",52,2.5,0,2,10,11000,3,202243,1995,0,0.04
"9909",0.06,"S MONACO STREET PKWY","S","4  Minor Arterial","1    Asphalt",78,4,0,5,10,21000,3,202039,1995,1.37,1.43
"9911",0.07,"LAWRENCE ST","NE","4  Minor Arterial","1    Asphalt",40,4,269,2,12,1800,0,202121,1995,1.765,1.835
"9912",0.05,"E FLORIDA AVE","E","4  Minor Arterial","1    Asphalt",44,4,0,2,10,11000,3,202141,1995,1.865,1.915
"9914",0.03,"S EMERSON ST","S","4  Minor Arterial","1    Asphalt",32,4,159,1,12,1900,2,901093,1995,1.22,1.25
"9915",0.04,"W 44TH AVE","W","4  Minor Arterial","1    Asphalt",40,4,0,2,10,6900,3,201952,1995,0.81,0.85
"9916",0.01,"W JEWELL AVE","W","4  Minor Arterial","1    Asphalt",48,4,181,2,12,12000,0,107443,1995,2.28,2.29
"9920",0.11,"N YORK ST","N","4  Minor Arterial","1    Asphalt",36,4,0,2,10,15000,3,107775,1995,0.83,0.94
"9921",0.02,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",36,4,0,2,10,20000,3,202067,1995,1.63,1.65
"9924",0.065,"E MONTVIEW BLVD","E","4  Minor Arterial","1    Asphalt",56,1,0,4,10,20000,1,203276,1995,2.9,2.965
"9926",0.03,"E ALAMEDA AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,112,4,10,27000,0,900044,1995,0.67,0.7
"9935",0.06,"W 32ND AVE","W","4  Minor Arterial","1    Asphalt",40,4,0,2,10,6700,3,201295,1995,0.48,0.54
"9936",0.01,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,202,3,10,23000,3,107661,1995,1.7,1.71
"9938",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,2,10,6900,3,202251,1995,2.81,2.84
"9939",0.13,"S DOWNING ST","S","4  Minor Arterial","1    Asphalt",36,4,0,2,10,20000,3,202067,1995,0.84,0.97
"9943",0.05,"E 20TH AVE","E","4  Minor Arterial","1    Asphalt",44,4,335,3,10,2500,0,202228,1995,0.556,0.606
"9945",0.06,"N JOSEPHINE ST","N","4  Minor Arterial","1    Asphalt",36,4,0,2,10,17000,3,107728,1995,0.47,0.53
"9946",0.06,"E 6TH AVENUE PKWY","E","4  Minor Arterial","1    Asphalt",140,4,0,4,10,17000,1,202197,1995,0.93,0.99
"9947",0.03,"N WASHINGTON ST","N","3  Principal Arterial - Other","1    Asphalt",40,1,418,2,10,22000,0,201930,1995,0.51,0.54
"9950",0.01,"N BROADWAY","N","3  Principal Arterial - Other","1    Asphalt",72,2.5,277,4,10,24000,1,900066,1995,1.36,1.37
"9952",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,0,2,10,6200,3,202245,1995,4.29,4.35
"9953",0.12,"S MONACO STREET PKWY","S","4  Minor Arterial","1    Asphalt",78,4,0,5,10,35000,3,107744,1995,0.1,0.22
"9954",0.01,"E 6TH AVE","E","3  Principal Arterial - Other","1    Asphalt",44,4,153,4,10,22000,3,107664,1995,3.09,3.1
"9957",0.03,"LARIMER ST","NE","4  Minor Arterial","1    Asphalt",33,4,229,2,11,3000,0,101371,1995,0.6,0.63
"9958",0.06,"E FLORIDA AVE","E","4  Minor Arterial","1    Asphalt",30,2.5,0,2,10,5500,3,202142,1995,0.655,0.715
"9959",0.1,"S EMERSON ST","S","4  Minor Arterial","1    Asphalt",32,4,166,1,12,1900,2,901093,1995,0.42,0.52
"9960",0.08,"W 38TH AVE","W","4  Minor Arterial","1    Asphalt",68,4,0,4,10,21000,3,201955,1995,0.79,0.87
"9961",0.07,"S QUEBEC ST","S","4  Minor Arterial","1    Asphalt",30,4,0,2,12,31000,3,203110,1995,0,0.07
"9964",0.06,"20TH ST","NW","4  Minor Arterial","1    Asphalt",52,4,392,4,9,8200,1,106527,1995,0.14,0.2
"9966",0.06,"E YALE AVE","E","4  Minor Arterial","1    Asphalt",40,1,0,2,10,11000,3,201881,1995,2.218,2.278
"9967",0.06,"E ALAMEDA AVE","E","4  Minor Arterial","1    Asphalt",44,4,508,4,10,23000,0,202194,1995,0.32,0.38
"9970",0.06,"E MONTVIEW BLVD","E","4  Minor Arterial","1    Asphalt",56,4,0,4,10,11000,3,202093,1995,2.54,2.6
"9971",0.09,"N BRIGHTON BLVD","NE","4  Minor Arterial","1    Asphalt",50,4,199,4,10,10000,4,902028,1995,1.01,1.1
"9973",0.04,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,261,3,10,18000,0,107668,1995,2.3,2.34
