"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"404",0.1,"PENA BLVD INBOUND","NE","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,105,4,11,98000,0,106559,1995,4.97,5.07
"410",0.045,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",60,4,309,8,12,27000,0,901637,1995,1.5,1.545
"413",0.1,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,283,5,10,25000,3,107769,1995,0.2,0.3
"428",0.09,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",33,1,180,8,10,45000,0,202077,1995,3.2,3.29
"430",0.06,"E 23RD AVE","E","4  Minor Arterial","1    Asphalt",48,4,0,3,10,11000,3,202226,1995,2.07,2.13
"435",0.03,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,257,4,12,20000,3,901631,1995,0.07,0.1
"439",0.03,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,116,6,10,41000,1,202234,1995,0.9,0.93
"440",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",98,4,182,6,10,40000,1,107772,1995,0.1,0.11
"443",0.04,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,208,4,10,29000,0,202147,1995,2.3,2.34
"449",0.07,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,119,4,10,37000,1,901089,1995,1.23,1.3
"453",0.02,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",44,2.5,181,4,10,27000,1,107447,1995,1.6,1.62
"479",0.01,"PARK AVE W","N","3  Principal Arterial - Other","1    Asphalt",66,1,180,4,10,20000,4,202087,1995,1.79,1.8
"484",0.1,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,108,4,10,22000,4,107768,1995,1.9,2
"486",0.025,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,113,4,10,30000,3,202096,1995,1.875,1.9
"487",0.08,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,240,4,10,29000,0,202147,1995,2.02,2.1
"492",0.05,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,2.5,77,6,11,10000,0,202083,1995,1.25,1.3
"494",0.074,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,285,2,10,24000,2,900538,1995,1.226,1.3
"495",0.01,"N KALAMATH ST","N","3  Principal Arterial - Other","1    Asphalt",52,4,194,5,10,39000,1,202126,1995,1,1.01
"503",0.11,"PENA BLVD INBOUND","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",36,4,55,4,11,122000,1,900096,1995,1.76,1.87
"512",0.06,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,250,4,10,36000,3,202002,1995,1.3,1.36
"523",0.02,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",48,4,240,4,12,40000,3,900101,1995,0.28,0.3
"529",0.025,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,231,7,12,32000,3,900124,1995,2.4,2.425
"531",0.01,"E MISSISSIPPI AVE","E","3  Principal Arterial - Other","1    Asphalt",26,1,277,6,11,24000,2,107452,1995,0.49,0.5
"532",0.07,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,189,4,10,29000,0,202147,1995,0.42,0.49
"556",0.04,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,306,4,10,32000,3,202398,1995,0.7,0.74
"559",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,254,4,10,30000,1,202146,1995,2.84,2.87
"566",0.03,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,157,4,11,31000,1,900521,1995,1.37,1.4
"571",0.085,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,4,241,8,12,27000,0,901637,1995,1.3,1.385
"580",0.01,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,231,4,12,20000,3,901631,1995,0.4,0.41
"587",0.1,"W ALAMEDA AVE","W","3  Principal Arterial - Other","1    Asphalt",52,4,600,5,10,28000,1,201938,1995,0,0.1
"599",0.04,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,300,2,10,8100,3,106744,1995,0.86,0.9
"603",0.05,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,2.5,75,6,11,10000,0,202083,1995,1.4,1.45
"620",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,307,4,10,37000,0,202000,1995,1.8,1.85
