"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"69",0.04,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",72,4,4,10,21000,1,2,2.04,307
"70",0.064,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,2,10,19000,2,3.036,3.1,311
"71",0.02,"20TH ST","NW","3  Principal Arterial - Other","1    Asphalt",20,4,2,10,26000,1,0.13,0.15,336
"72",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",42,4,8,12,21000,4,1.2,1.24,342
"73",0.075,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,4,10,30000,3,2,2.075,343
"74",0.09,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,12,29000,0,1.31,1.4,344
"75",0.05,"N SPEER BLVD","N","3  Principal Arterial - Other","1    Asphalt",20,4,7,10,32000,3,2.435,2.485,350
"76",0.02,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,1.28,1.3,351
"77",0.08,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,25000,1,0.81,0.89,358
"78",0.08,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,0.91,0.99,362
"79",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,2,10,24000,2,1.6,1.7,365
"80",0.1,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",65,1,4,10,39000,1,1.5,1.6,366
"81",0.1,"N JOSEPHINE ST","N","4  Minor Arterial","1    Asphalt",32,4,2,10,11000,2,0.765,0.865,368
"82",0.03,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,5,10,25000,3,0.3,0.33,371
"83",0.06,"S SYRACUSE WAY","S","4  Minor Arterial","1    Asphalt",24,4,2,10,10000,3,0.13,0.19,372
"84",0.085,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,4,10,30000,3,2.615,2.7,381
"85",0.05,"N KALAMATH ST","N","3  Principal Arterial - Other","1    Asphalt",52,4,3,10,39000,1,1.07,1.12,385
"86",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,29000,0,0.3,0.36,390
"87",0.005,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,8,10,25000,1,0.4,0.405,402
"88",0.06,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",34,4,4,10,10000,0,1.94,2,410
"89",0.05,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,37000,0,1.85,1.9,420
"90",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,53000,4,2.94,3,426
"91",0.045,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",48,1,4,12,27000,0,1.655,1.7,428
"92",0.05,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,4,12,20000,3,0.35,0.4,431
